,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
281,07/02/2018,-3°C/-0°C,-5°C/0°C,-1°C/0°C,-2°C/-0°C,-2°C/1°C
282,08/02/2018,-4°C/1°C,-4°C/0°C,-4°C/0°C,-4°C/-0°C,-3°C/1°C
283,09/02/2018,-3°C/1°C,-3°C/1°C,-3°C/1°C,-3°C/1°C,-2°C/1°C
284,10/02/2018,-1°C/2°C,-2°C/2°C,-1°C/1°C,-1°C/1°C,-1°C/2°C
285,11/02/2018,3°C/6°C,2°C/6°C,4°C/6°C,3°C/6°C,5°C/7°C
286,12/02/2018,1°C/5°C,0°C/5°C,1°C/5°C,1°C/5°C,1°C/6°C
287,13/02/2018,1°C/4°C,1°C/3°C,2°C/4°C,1°C/4°C,2°C/3°C
288,14/02/2018,1°C/5°C,1°C/4°C,1°C/5°C,1°C/5°C,1°C/5°C
289,15/02/2018,8°C/9°C,7°C/10°C,8°C/10°C,8°C/10°C,8°C/10°C
290,16/02/2018,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C,5°C/9°C
291,17/02/2018,4°C/9°C,4°C/9°C,4°C/8°C,4°C/8°C,4°C/9°C
292,18/02/2018,4°C/8°C,4°C/9°C,4°C/8°C,4°C/8°C,4°C/9°C
293,19/02/2018,3°C/5°C,3°C/6°C,2°C/5°C,2°C/5°C,3°C/6°C
294,20/02/2018,3°C/7°C,3°C/7°C,3°C/6°C,3°C/6°C,3°C/6°C
295,21/02/2018,1°C/6°C,1°C/5°C,2°C/6°C,2°C/6°C,1°C/5°C
296,22/02/2018,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C
297,23/02/2018,0°C/4°C,0°C/4°C,0°C/4°C,0°C/4°C,0°C/4°C
298,24/02/2018,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C,0°C/5°C
299,25/02/2018,-1°C/3°C,-1°C/3°C,-1°C/3°C,-1°C/3°C,-1°C/3°C
300,26/02/2018,-3°C/-0°C,-3°C/-0°C,-3°C/0°C,-3°C/-0°C,-3°C/-0°C
301,27/02/2018,-4°C/-2°C,-4°C/-2°C,-4°C/-2°C,-4°C/-2°C,-4°C/-2°C
302,28/02/2018,-5°C/-1°C,-5°C/-1°C,-5°C/-1°C,-5°C/-1°C,-5°C/-1°C
303,01/01/2018,7°C/9°C,7°C/9°C,7°C/9°C,7°C/9°C,7°C/9°C
304,02/01/2018,5°C/11°C,5°C/11°C,5°C/11°C,5°C/11°C,5°C/11°C
305,03/01/2018,9°C/15°C,8°C/15°C,9°C/15°C,8°C/15°C,9°C/15°C
306,04/01/2018,10°C/14°C,9°C/14°C,8°C/14°C,11°C/14°C,13°C/14°C
307,05/01/2018,8°C/11°C,7°C/10°C,8°C/10°C,8°C/10°C,9°C/10°C
308,06/01/2018,6°C/7°C,6°C/7°C,6°C/7°C,6°C/7°C,6°C/7°C
309,07/01/2018,6°C/7°C,5°C/7°C,6°C/7°C,6°C/7°C,5°C/6°C
310,08/01/2018,5°C/8°C,4°C/7°C,5°C/8°C,5°C/8°C,5°C/7°C
311,09/01/2018,5°C/8°C,4°C/8°C,5°C/8°C,5°C/8°C,4°C/7°C
312,10/01/2018,7°C/8°C,6°C/8°C,6°C/8°C,6°C/8°C,7°C/8°C
313,11/01/2018,5°C/7°C,5°C/7°C,5°C/7°C,5°C/7°C,5°C/7°C
