,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
118,09/02/2019,10°C/11°C,10°C/11°C,10°C/11°C,8°C/11°C,6°C/10°C
119,10/02/2019,9°C/11°C,8°C/11°C,9°C/11°C,5°C/9°C,4°C/8°C
120,11/02/2019,4°C/9°C,4°C/9°C,5°C/9°C,4°C/9°C,3°C/8°C
121,12/02/2019,4°C/9°C,4°C/9°C,4°C/9°C,4°C/11°C,3°C/9°C
122,13/02/2019,3°C/10°C,3°C/10°C,4°C/10°C,6°C/11°C,5°C/11°C
123,14/02/2019,5°C/12°C,5°C/12°C,5°C/11°C,8°C/16°C,7°C/14°C
124,15/02/2019,7°C/15°C,7°C/15°C,7°C/14°C,9°C/16°C,8°C/15°C
125,16/02/2019,8°C/16°C,8°C/16°C,8°C/14°C,8°C/16°C,7°C/14°C
126,17/02/2019,8°C/15°C,8°C/15°C,8°C/14°C,9°C/14°C,8°C/12°C
127,18/02/2019,8°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C,7°C/12°C
128,19/02/2019,8°C/13°C,8°C/13°C,7°C/12°C,7°C/13°C,6°C/13°C
129,20/02/2019,7°C/13°C,7°C/13°C,6°C/13°C,9°C/18°C,8°C/16°C
130,21/02/2019,8°C/16°C,8°C/16°C,8°C/16°C,12°C/17°C,10°C/16°C
131,22/02/2019,10°C/16°C,10°C/16°C,10°C/16°C,10°C/16°C,9°C/15°C
132,23/02/2019,8°C/14°C,8°C/14°C,9°C/15°C,9°C/15°C,8°C/14°C
133,24/02/2019,7°C/14°C,7°C/14°C,8°C/13°C,10°C/17°C,8°C/16°C
134,25/02/2019,8°C/15°C,8°C/15°C,8°C/15°C,12°C/20°C,11°C/18°C
135,26/02/2019,11°C/18°C,11°C/18°C,11°C/18°C,13°C/22°C,13°C/21°C
136,27/02/2019,13°C/21°C,13°C/21°C,12°C/20°C,11°C/16°C,10°C/14°C
137,28/02/2019,10°C/14°C,10°C/14°C,10°C/14°C,11°C/16°C,11°C/15°C
138,08/04/2019,11°C/16°C,11°C/16°C,11°C/16°C,12°C/17°C,12°C/17°C
139,09/04/2019,12°C/17°C,12°C/17°C,12°C/16°C,10°C/14°C,10°C/13°C
140,10/04/2019,10°C/14°C,10°C/14°C,10°C/13°C,8°C/15°C,7°C/13°C
141,11/04/2019,8°C/13°C,8°C/13°C,7°C/13°C,8°C/12°C,7°C/11°C
